Serial Number,Song,Artist,Genres,Album,Duration,Album Label,Country,Streams
145, DÁKITI,"Bad Bunny,Jhay Cortez",Latin,EL ÚLTIMO TOUR DEL MUNDO,03:25,Rimas Entertainment LLC,India,
146, TE MUDASTE,Bad Bunny,Latin,EL ÚLTIMO TOUR DEL MUNDO,02:10,Rimas Entertainment LLC,India,
147, 1-800-273-8255,"Logic,Alessia Cara,Khalid","R&B, Pop, Hip Hop",Everybody,04:10,Def Jam Recordings,India,
148, Everything Will Be Just Fine,aloneintokyo,EDM/Lofi,Everything Will Be Just Fine,03:14,aloneintokyo,India,
149, unravel,TK from Ling tosite sigure,Pop,Fantastic Magic,03:58,NITRON concepts,India,
150, Falling,Trevor Daniel,"R&B, Hip Hop, Pop",Falling,02:39,Alamo Records,India,
151, Feelings,"Deep Chills,Natania",Dance/Electronic,Feelings,02:43,Miami Beats,India,
152, Melting,CHEEZE,Pop,"Forecasting Love and Weather (Original Television Soundtrack), Pt. 1",03:06,,India,
153, Right Now (Na Na Na),Akon,Pop,Freedom,04:00,Konvict/Upfront/SRC/Universal Records,India,
154, Mask Off,Future,Hip Hop,FUTURE,03:24,Epic/Freebandz/A1,India,
155, Ordinary People,John Legend,"R&B, Pop",Get Lifted,04:41,Getting Out Our Dreams/Sony Urban Music/Columbia,India,
156, GIANTS,"True Damage,Becky G,Keke Palmer,JEON SOYEON,Duckwrth,Thutmose,League of Legends","R&B, Pop, Latin, Hip Hop, Easy listening",GIANTS,03:11,Riot Games,India,
157, Goodbyes (Feat. Young Thug),"Post Malone,Young Thug",Hip Hop,Goodbyes (Feat. Young Thug),02:54,Republic Records,India,
158, A Good Night,"John Legend,BloodPop®","Pop, R&B",A Good Night,03:23,Columbia,India,
159, Boulevard of Broken Dreams,Green Day,Rock,Greatest Hits: God's Favorite Band,04:22,Reprise,India,
160, Aashiq Banaya Aapne,"Himesh Reshammiya,Neha Kakkar","Hip Hop, World/Traditional",Hate Story Iv,03:42,T-Series,India,
161, Heartless,The Weeknd,"R&B, Pop",Heartless,03:20,Republic Records,India,
162, Heathens,"Harddope,Halvorsen",Dance/Electronic,Heathens,02:20,Magic Records,India,
163, Hollows,aloneintokyo,EDM/Lofi,Hollows,03:36,aloneintokyo,India,
164, Hollywood's Bleeding,Post Malone,Hip Hop,Hollywood's Bleeding,02:36,Republic Records,India,
165, Saint-Tropez,Post Malone,Hip Hop,Hollywood's Bleeding,02:30,Republic Records,India,
166, Myself,Post Malone,Hip Hop,Hollywood's Bleeding,02:38,Republic Records,India,
167, La La La,"Naughty Boy,Sam Smith","Pop, Dance/Electronic, R&B",Hotel Cabana (Deluxe Version),03:42,Virgin Records Ltd,India,
168," Hotel California - Live at The Forum, Los Angeles, CA, 10/20-22/1976",Eagles,"Rock, Country",Hotel California (40th Anniversary Expanded Edition),06:49,Rhino/Elektra,India,
169, All Time Low,Jon Bellion,Hip Hop,The Human Condition,03:37,Capitol Records (CAP),India,
170, In the End,Linkin Park,Metal,Hybrid Theory (Bonus Edition),03:36,Warner Records,India,
